target,checkpoint,unit_count,pool_size,episodes,success_count,success_rate_percent,episode_return_mean,episode_return_std,progress_reward_mean,progress_reward_std,guidance_reward_mean,guidance_reward_std,episode_length_mean,episode_length_std,successful_connections_per_unit_mean,successful_connections_per_unit_std,successful_connections_per_unit_min,successful_connections_per_unit_max,successful_connections_per_unit_successful_episodes_mean,successful_connections_per_unit_successful_episodes_std,successful_connections_per_unit_successful_episodes_min,successful_connections_per_unit_successful_episodes_max,successful_connections_per_unit_unsuccessful_episodes_mean,successful_connections_per_unit_unsuccessful_episodes_std,successful_connections_per_unit_unsuccessful_episodes_min,successful_connections_per_unit_unsuccessful_episodes_max
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_12-49-19/models/model_150001664_steps_final.pt,4,50,512,129,25.1953125,8.818969572509332,5.231026251217625,10.162436460998961,4.914483143627567,-1.3434668085528756,0.37111491297929655,447.822265625,123.70496991781269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_12-49-20/models/model_150001664_steps_final.pt,4,50,512,422,82.421875,15.59161922089379,4.183515800239502,16.405240336680208,3.859165890643774,-0.8136211008222745,0.4373222813025181,271.20703125,145.77409250038747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_23-52-11/models/model_150001664_steps_final.pt,4,50,512,167,32.6171875,9.896726439732447,5.333479855482209,11.205640631749972,5.014466429638106,-1.3089140738775313,0.37315313822437135,436.3046875,124.38437832693197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_23-52-34/models/model_150001664_steps_final.pt,4,50,512,502,98.046875,17.3630959864297,1.8335881217163161,17.92512724805374,1.728419910568258,-0.562031254885369,0.23501842510728269,187.34375,78.33947435480724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-08-15_11-45-06/models/model_150001664_steps_final.pt,4,50,512,201,39.2578125,10.66111810742018,5.424115543513227,11.90753026153314,5.070738458028195,-1.2464121202092429,0.4147537239323637,415.470703125,138.25124010906055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_12-49-19/models/model_150001664_steps_final.pt,5,50,512,73,14.2578125,7.901925557827781,4.312828354024661,9.336001748338939,4.0851042021893065,-1.4340761843404835,0.2833753058282215,478.025390625,94.45843445500863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_12-49-20/models/model_150001664_steps_final.pt,5,50,512,365,71.2890625,14.521264095221795,4.619643648689389,15.470359769008272,4.261273104078277,-0.9490957113748664,0.45165653892410595,316.365234375,150.55217833271732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_23-52-11/models/model_150001664_steps_final.pt,5,50,512,92,17.96875,8.435334417840522,4.52989574576184,9.867459442769237,4.320185988243405,-1.4321250124485232,0.25935642478188997,477.375,86.45214084249157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-07-17_23-52-34/models/model_150001664_steps_final.pt,5,50,512,495,96.6796875,17.1811180407517,2.2814001140783744,17.827981277993754,2.1398253064122903,-0.6468632868727582,0.2708623132510044,215.62109375,90.28743696552533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_disconnected_finetune_50m/tmasac_no_connectors/2026-08-15_11-45-06/models/model_150001664_steps_final.pt,5,50,512,167,32.6171875,10.282090768135959,5.103911311198862,11.607885677988593,4.811497228439072,-1.3257949333992656,0.35011292976636327,441.931640625,116.70430890768708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
